,labeller,modelAppr,scalingAppr,selectionAppr,accuracy,precision,recall,f1,auc_roc
199,KMeans_undersampling_4_highestScoreIndex,RFC,MMS,FT,0.4750853242320819,0.3708609271523179,0.9803063457330415,0.5381381381381382,0.6131690458823937
211,KMeans_undersampling_4_lowestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
214,KMeans_undersampling_4_lowestScoreIndex,MLPC,MMS,FT,0.4825938566552901,0.37405857740585774,0.9781181619256017,0.5411622276029056,0.6180273349310548
208,KMeans_undersampling_4_lowestScoreIndex,RFC,MMS,FT,0.4709897610921502,0.36902800658978585,0.9803063457330415,0.5362058647516457,0.6101928554062033
111,KMedoids_undersampling_2_bestScoreByClosestToMean,LSVC,FT,FT,0.7064846416382252,0.5255198487712666,0.6083150984682714,0.5638945233265721,0.6796535809801675
115,KMedoids_undersampling_2_bestScoreByClosestToMean,MLPC,MMS,FT,0.48395904436860065,0.37468566638725903,0.9781181619256017,0.5418181818181819,0.6190193984231183
109,KMedoids_undersampling_2_bestScoreByClosestToMean,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
120,KMedoids_undersampling_2_bestScoreByClosestToMedian,LSVC,FT,FT,0.5795221843003413,0.4167539267015707,0.8708971553610503,0.5637393767705382,0.6591588951408426
123,KMedoids_undersampling_2_bestScoreByClosestToMedian,MLPC,FT,FT,0.5692832764505119,0.409375,0.8599562363238512,0.5546930134086098,0.6487281181619255
118,KMedoids_undersampling_2_bestScoreByClosestToMedian,RFC,MMS,FT,0.4709897610921502,0.36902800658978585,0.9803063457330415,0.5362058647516457,0.6101928554062033
94,KMedoids_undersampling_2_highestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
96,KMedoids_undersampling_2_highestScoreIndex,MLPC,FT,FT,0.5385665529010238,0.39581351094196005,0.9102844638949672,0.5517241379310346,0.6401620732173249
91,KMedoids_undersampling_2_highestScoreIndex,RFC,MMS,FT,0.4737201365187713,0.3702479338842975,0.9803063457330415,0.5374925014997,0.6121769823903302
102,KMedoids_undersampling_2_lowestScoreIndex,LSVC,FT,FT,0.5474402730375426,0.3994140625,0.8949671772428884,0.5523295070898042,0.6424240648119204
105,KMedoids_undersampling_2_lowestScoreIndex,MLPC,FT,FT,0.5549488054607509,0.40336967294350845,0.8905908096280087,0.5552523874488404,0.6466842937028932
100,KMedoids_undersampling_2_lowestScoreIndex,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
184,KMedoids_undersampling_3_bestScoreByClosestToMean,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
186,KMedoids_undersampling_3_bestScoreByClosestToMean,MLPC,FT,FT,0.5604095563139931,0.40584088620342396,0.8818380743982495,0.5558620689655172,0.6482603070403945
181,KMedoids_undersampling_3_bestScoreByClosestToMean,RFC,MMS,FT,0.47440273037542663,0.3705541770057899,0.9803063457330415,0.5378151260504201,0.6126730141363621
192,KMedoids_undersampling_3_bestScoreByClosestToMedian,LSVC,FT,FT,0.70580204778157,0.5241635687732342,0.6170678336980306,0.5668341708542713,0.6815497898648883
195,KMedoids_undersampling_3_bestScoreByClosestToMedian,MLPC,FT,FT,0.5358361774744027,0.3918525703200776,0.8840262582056893,0.5430107526881721,0.6310012243409399
190,KMedoids_undersampling_3_bestScoreByClosestToMedian,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
166,KMedoids_undersampling_3_highestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
168,KMedoids_undersampling_3_highestScoreIndex,MLPC,FT,FT,0.5651877133105802,0.4074074074074074,0.8665207877461707,0.5542337298810356,0.6475461081587996
163,KMedoids_undersampling_3_highestScoreIndex,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
175,KMedoids_undersampling_3_lowestScoreIndex,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
177,KMedoids_undersampling_3_lowestScoreIndex,MLPC,FT,FT,0.5604095563139931,0.4050761421319797,0.8730853391684902,0.5533980582524273,0.6458680664096419
172,KMedoids_undersampling_3_lowestScoreIndex,RFC,MMS,FT,0.47167235494880544,0.36933223413025557,0.9803063457330415,0.5365269461077845,0.6106888871522351
255,KMedoids_undersampling_4_bestScoreByClosestToMean,LSVC,FT,FT,0.5242320819112628,0.3888888888888889,0.9190371991247265,0.5465191932335719,0.6321376471814109
258,KMedoids_undersampling_4_bestScoreByClosestToMean,MLPC,FT,FT,0.5583617747440273,0.40575396825396826,0.8949671772428884,0.5583617747440274,0.6503605727484283
253,KMedoids_undersampling_4_bestScoreByClosestToMean,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
265,KMedoids_undersampling_4_bestScoreByClosestToMedian,LSVC,MMS,FT,0.49215017064846417,0.3782866836301951,0.975929978118162,0.5452322738386308,0.6243737192178112
267,KMedoids_undersampling_4_bestScoreByClosestToMedian,MLPC,FT,FT,0.5733788395904437,0.41304347826086957,0.8730853391684902,0.5607870695713282,0.6552926695842451
262,KMedoids_undersampling_4_bestScoreByClosestToMedian,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
237,KMedoids_undersampling_4_highestScoreIndex,LSVC,FT,FT,0.5863481228668942,0.41945945945945945,0.849015317286652,0.56150506512301,0.6581386110242784
240,KMedoids_undersampling_4_highestScoreIndex,MLPC,FT,FT,0.552901023890785,0.40159045725646125,0.8840262582056893,0.5522898154477102,0.6434020179917335
235,KMedoids_undersampling_4_highestScoreIndex,RFC,MMS,FT,0.47235494880546075,0.3696369636963696,0.9803063457330415,0.5368484122228879,0.6111849188982668
246,KMedoids_undersampling_4_lowestScoreIndex,LSVC,FT,FT,0.7030716723549488,0.518581081081081,0.6717724288840262,0.5853193517635843,0.6945171668229655
250,KMedoids_undersampling_4_lowestScoreIndex,MLPC,MMS,FT,0.48395904436860065,0.37468566638725903,0.9781181619256017,0.5418181818181819,0.6190193984231183
244,KMedoids_undersampling_4_lowestScoreIndex,RFC,MMS,FT,0.47303754266211606,0.3699421965317919,0.9803063457330415,0.5371702637889688,0.6116809506442985
22,cluster_centroids,LSVC,MMS,FT,0.7133105802047781,0.5294117647058824,0.7286652078774617,0.6132596685082873,0.717507207113334
25,cluster_centroids,MLPC,MMS,FT,0.7098976109215017,0.5239520958083832,0.7658643326039387,0.6222222222222222,0.7251940710638741
18,cluster_centroids,RFC,FT,FT,0.6354948805460751,0.4492753623188406,0.7461706783369803,0.5608552631578947,0.6657440693272202
4,no_sampling,LSVC,MMS,FT,0.7344709897610922,0.6111111111111112,0.40919037199124725,0.49017038007863695,0.6455674082178459
6,no_sampling,MLPC,FT,FT,0.7310580204778157,0.5727482678983834,0.5426695842450766,0.5573033707865168,0.6795689191066652
1,no_sampling,RFC,MMS,FT,0.7003412969283277,0.5226130653266332,0.4551422319474836,0.48654970760233923,0.6333250842277101
13,random_undersampling,LSVC,MMS,FT,0.7126279863481229,0.5275229357798165,0.7549234135667396,0.621062106210621,0.7241878972595603
17,random_undersampling,MLPC,SS,FT,0.6962457337883959,0.5082872928176796,0.8052516411378556,0.6232006773920407,0.7260385189816262
9,random_undersampling,RFC,FT,FT,0.6668941979522184,0.47690014903129657,0.700218818380744,0.5673758865248226,0.6760022663332291
40,smote,LSVC,MMS,FT,0.7126279863481229,0.5278637770897833,0.7461706783369803,0.6183136899365367,0.7217956566288075
43,smote,MLPC,MMS,FT,0.6846416382252559,0.4967148488830486,0.8271334792122538,0.6206896551724138,0.7235865808759682
38,smote,RFC,SS,FT,0.6866894197952218,0.4980392156862745,0.5557986870897156,0.5253360910031024,0.6509152165607308
49,smoteenn,LSVC,MMS,FT,0.6969283276450512,0.5089408528198074,0.8096280087527352,0.625,0.7277306710430342
52,smoteenn,MLPC,MMS,FT,0.6839590443686007,0.49612403100775193,0.8402625820568927,0.6238830219333875,0.7266789100760654
45,smoteenn,RFC,FT,FT,0.6969283276450512,0.5096582466567607,0.75054704595186,0.6070796460176991,0.7115830467854538
31,smotetomek,LSVC,MMS,FT,0.7112627986348122,0.5259146341463414,0.7549234135667396,0.6199460916442048,0.7231958337674969
34,smotetomek,MLPC,MMS,FT,0.6969283276450512,0.5087956698240866,0.8227571115973742,0.6287625418060201,0.7313190319891633
28,smotetomek,RFC,MMS,FT,0.6962457337883959,0.5116279069767442,0.5776805251641138,0.5426515930113052,0.663840262582057
